Datetime,Open,High,Low,Close,Volume,OpenInterest
2015-09-23T20:57:42.146,3067.00,3067.00,3067.00,3067.00,180,0
2015-09-23T20:57:46.151,3066.00,3066.00,3066.00,3066.00,2,0
2015-09-23T20:57:53.821,3066.00,3066.00,3066.00,3066.00,1,0
2015-09-23T20:57:55.073,3066.00,3066.00,3066.00,3066.00,2,0
2015-09-23T20:57:57.330,3066.00,3066.00,3066.00,3066.00,1,0
2015-09-23T20:58:00.079,3066.00,3066.00,3066.00,3066.00,168,0
2015-09-23T20:58:00.267,3066.00,3066.00,3066.00,3066.00,15,0
2015-09-23T20:58:00.578,3066.00,3066.00,3066.00,3066.00,3,0
2015-09-23T20:58:01.091,3065.00,3065.00,3065.00,3065.00,4,0
2015-09-23T20:58:01.341,3066.00,3066.00,3066.00,3066.00,4,0
2015-09-23T20:58:02.587,3067.00,3067.00,3067.00,3067.00,50,0
2015-09-23T20:58:03.271,3066.00,3066.00,3066.00,3066.00,191,0
2015-09-23T20:58:05.052,3067.00,3067.00,3067.00,3067.00,69,0
2015-09-23T20:58:06.540,3066.00,3066.00,3066.00,3066.00,10,0
2015-09-23T20:58:10.550,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:58:12.301,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:58:12.551,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:58:13.049,3066.00,3066.00,3066.00,3066.00,1,0
2015-09-23T20:58:13.549,3067.00,3067.00,3067.00,3067.00,4,0
2015-09-23T20:58:19.561,3068.00,3068.00,3068.00,3068.00,198,0
2015-09-23T20:58:21.068,3068.00,3068.00,3068.00,3068.00,6,0
2015-09-23T20:58:22.316,3068.00,3068.00,3068.00,3068.00,60,0
2015-09-23T20:58:22.316,3069.00,3069.00,3069.00,3069.00,1,0
2015-09-23T20:58:22.665,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:29.429,3068.00,3068.00,3068.00,3068.00,5,0
2015-09-23T20:58:29.679,3068.00,3068.00,3068.00,3068.00,65,0
2015-09-23T20:58:30.590,3068.00,3068.00,3068.00,3068.00,2,0
2015-09-23T20:58:31.182,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:31.674,3068.00,3068.00,3068.00,3068.00,2,0
2015-09-23T20:58:32.832,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:37.189,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:39.451,3068.00,3068.00,3068.00,3068.00,2,0
2015-09-23T20:58:41.701,3068.00,3068.00,3068.00,3068.00,10,0
2015-09-23T20:58:41.841,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:42.948,3069.00,3069.00,3069.00,3069.00,8,0
2015-09-23T20:58:43.188,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:44.201,3069.00,3069.00,3069.00,3069.00,7,0
2015-09-23T20:58:44.451,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:46.946,3069.00,3069.00,3069.00,3069.00,16,0
2015-09-23T20:58:47.186,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:52.192,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:53.953,3068.00,3068.00,3068.00,3068.00,61,0
2015-09-23T20:58:55.208,3068.00,3068.00,3068.00,3068.00,10,0
2015-09-23T20:58:57.958,3069.00,3069.00,3069.00,3069.00,30,0
2015-09-23T20:58:58.463,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:58.970,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:58:59.971,3067.00,3067.00,3067.00,3067.00,12,0
2015-09-23T20:59:00.222,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:00.412,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:00.713,3067.00,3067.00,3067.00,3067.00,10,0
2015-09-23T20:59:00.963,3068.00,3068.00,3068.00,3068.00,9,0
2015-09-23T20:59:01.213,3067.00,3067.00,3067.00,3067.00,3,0
2015-09-23T20:59:01.471,3068.00,3068.00,3068.00,3068.00,4,0
2015-09-23T20:59:01.627,3068.00,3068.00,3068.00,3068.00,3,0
2015-09-23T20:59:03.723,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:59:05.223,3068.00,3068.00,3068.00,3068.00,6,0
2015-09-23T20:59:05.973,3067.00,3067.00,3067.00,3067.00,3,0
2015-09-23T20:59:06.380,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:59:09.235,3068.00,3068.00,3068.00,3068.00,25,0
2015-09-23T20:59:10.237,3068.00,3068.00,3068.00,3068.00,17,0
2015-09-23T20:59:12.477,3067.00,3067.00,3067.00,3067.00,4,0
2015-09-23T20:59:12.633,3067.00,3067.00,3067.00,3067.00,4,0
2015-09-23T20:59:12.966,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:59:13.232,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:59:15.237,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:59:15.487,3068.00,3068.00,3068.00,3068.00,9,0
2015-09-23T20:59:16.739,3068.00,3068.00,3068.00,3068.00,27,0
2015-09-23T20:59:16.895,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:17.902,3068.00,3068.00,3068.00,3068.00,10,0
2015-09-23T20:59:18.496,3068.00,3068.00,3068.00,3068.00,10,0
2015-09-23T20:59:18.987,3068.00,3068.00,3068.00,3068.00,11,0
2015-09-23T20:59:19.402,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:21.490,3068.00,3068.00,3068.00,3068.00,4,0
2015-09-23T20:59:26.998,3068.00,3068.00,3068.00,3068.00,14,0
2015-09-23T20:59:27.248,3068.00,3068.00,3068.00,3068.00,2,0
2015-09-23T20:59:27.749,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:59:28.506,3067.00,3067.00,3067.00,3067.00,15,0
2015-09-23T20:59:30.002,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:31.018,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:59:31.757,3068.00,3068.00,3068.00,3068.00,25,0
2015-09-23T20:59:32.015,3067.00,3067.00,3067.00,3067.00,40,0
2015-09-23T20:59:32.257,3068.00,3068.00,3068.00,3068.00,10,0
2015-09-23T20:59:33.508,3067.00,3067.00,3067.00,3067.00,31,0
2015-09-23T20:59:35.019,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:59:35.265,3068.00,3068.00,3068.00,3068.00,25,0
2015-09-23T20:59:35.769,3067.00,3067.00,3067.00,3067.00,10,0
2015-09-23T20:59:37.016,3068.00,3068.00,3068.00,3068.00,24,0
2015-09-23T20:59:38.276,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:59:38.515,3067.00,3067.00,3067.00,3067.00,5,0
2015-09-23T20:59:38.771,3068.00,3068.00,3068.00,3068.00,25,0
2015-09-23T20:59:40.458,3068.00,3068.00,3068.00,3068.00,72,0
2015-09-23T20:59:41.028,3068.00,3068.00,3068.00,3068.00,2,0
2015-09-23T20:59:42.272,3069.00,3069.00,3069.00,3069.00,25,0
2015-09-23T20:59:43.012,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:43.528,3069.00,3069.00,3069.00,3069.00,11,0
2015-09-23T20:59:43.778,3069.00,3069.00,3069.00,3069.00,25,0
2015-09-23T20:59:44.035,3068.00,3068.00,3068.00,3068.00,10,0
2015-09-23T20:59:44.285,3068.00,3068.00,3068.00,3068.00,30,0
2015-09-23T20:59:44.535,3069.00,3069.00,3069.00,3069.00,3,0
2015-09-23T20:59:44.785,3069.00,3069.00,3069.00,3069.00,1,0
2015-09-23T20:59:45.440,3069.00,3069.00,3069.00,3069.00,25,0
2015-09-23T20:59:46.193,3069.00,3069.00,3069.00,3069.00,4,0
2015-09-23T20:59:46.444,3069.00,3069.00,3069.00,3069.00,3,0
2015-09-23T20:59:47.034,3069.00,3069.00,3069.00,3069.00,1,0
2015-09-23T20:59:47.278,3069.00,3069.00,3069.00,3069.00,26,0
2015-09-23T20:59:48.542,3069.00,3069.00,3069.00,3069.00,4,0
2015-09-23T20:59:48.780,3068.00,3068.00,3068.00,3068.00,5,0
2015-09-23T20:59:49.030,3069.00,3069.00,3069.00,3069.00,25,0
2015-09-23T20:59:49.298,3069.00,3069.00,3069.00,3069.00,9,0
2015-09-23T20:59:49.446,3069.00,3069.00,3069.00,3069.00,1,0
2015-09-23T20:59:49.789,3069.00,3069.00,3069.00,3069.00,1,0
2015-09-23T20:59:50.031,3068.00,3068.00,3068.00,3068.00,201,0
2015-09-23T20:59:50.480,3069.00,3069.00,3069.00,3069.00,8,0
2015-09-23T20:59:50.794,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:51.039,3068.00,3068.00,3068.00,3068.00,17,0
2015-09-23T20:59:51.289,3068.00,3068.00,3068.00,3068.00,7,0
2015-09-23T20:59:51.445,3068.00,3068.00,3068.00,3068.00,5,0
2015-09-23T20:59:52.040,3068.00,3068.00,3068.00,3068.00,3,0
2015-09-23T20:59:52.286,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:52.536,3068.00,3068.00,3068.00,3068.00,29,0
2015-09-23T20:59:53.539,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:59:54.302,3068.00,3068.00,3068.00,3068.00,25,0
2015-09-23T20:59:55.053,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:59:55.282,3068.00,3068.00,3068.00,3068.00,66,0
2015-09-23T20:59:56.055,3068.00,3068.00,3068.00,3068.00,26,0
2015-09-23T20:59:56.301,3068.00,3068.00,3068.00,3068.00,7,0
2015-09-23T20:59:56.792,3067.00,3067.00,3067.00,3067.00,10,0
2015-09-23T20:59:57.287,3068.00,3068.00,3068.00,3068.00,7,0
2015-09-23T20:59:57.552,3068.00,3068.00,3068.00,3068.00,5,0
2015-09-23T20:59:57.802,3069.00,3069.00,3069.00,3069.00,16,0
2015-09-23T20:59:58.048,3068.00,3068.00,3068.00,3068.00,8,0
2015-09-23T20:59:58.548,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:59.049,3069.00,3069.00,3069.00,3069.00,230,0
2015-09-23T20:59:59.547,3068.00,3068.00,3068.00,3068.00,19,0
2015-09-23T21:00:00.238,3069.00,3069.00,3069.00,3069.00,1,0
